Synonyms: (SysRS),Words Being Mapped To
2fa,multi factor authentication
access,access
access control,access control
access-control,access control
access group,access group
access level,access level
account name,username
activity,activity
admin,administrator
administrator,administrator
admission,access
admittance,access
alter,alter
application,application
appropriate,appropriate
archive,log
area of trust,trust zone
assortment,multiple
at least,minimum
attach,input
attachment,input
attempt,attempt
audit,audit
authenticate,authentication
authentication,authentication
authority,privilege
authorization,authorization
authorize,authorization
authorized,authorization
back up,recovery
backup,recovery
back-up,recovery
behavior,activity
both,multiple
boundary,boundary
boundary of trust,trust boundary
browser memory,cookie
cache,cookie
capability,capability
certificate,certificate
change,alter
char,character
character,character
check,check
check sum,checksum
checksum,checksum
chf,hash
cipher,encryption
confidential data,sensitive data
confidential datum,sensitive data
confidential information,sensitive data
confidential record,sensitive data
clear text,cleartext
cleartext,cleartext
client,client side
client end,client side
client side,client side
client-side,client side
collect,store
compartmentalisation,compartmentalization
compartmentalise,compartmentalization
compartmentalization,compartmentalization
compartmentalize,compartmentalization
complex,complexity
complexity,complexity
conduct,activity
config,configuration
configuration,configuration
confine,restrict
context characters,contextual string
context phrase,contextual string
context string,contextual string
contextual characters,contextual string
contextual phrase,contextual string
contextual string,contextual string
cookie,cookie
cookies,cookie
credential,credential
credentials,credential
credit card,sensitive data
critical datum,critical data
critical event,security event
cypher,encryption
data,data
datum,data
deactivate,disable
disable,disable
disenable,disable
document,log
dual,dual
electronic mail,email
element,element
email,email
e-mail,email
encipher,encryption
encrypt,encryption
encrypted,encryption
encryption,encryption
encypher,encryption
enduser,user
end-user,user
entrypoint,entrypoint
examine,check
exception,exception
exchange,exchange
expiration,expiration
expire,expiration
evidence,data
file,file
file format,file type
file name,filename
file type,file type
filename,filename
filetype,file type
fqdn,url
graphical interface,gui
graphical user interface,gui
guest,user
gui,gui
hash,hash
hash function,hash
hash sum,checksum
hash value,checksum
hmac,hash
host,host
hostname,host
http request,http request
hypertext transfer protocol request,http request
identification,authorization
identify,authorization
import,input
info,data
information,data
input,input
input file,input file
inspect,audit
internet protocol address,ip address
ip address,ip address
ipv4 address,ip address
ipv6 address,ip address
kba,key
keep,store
key,key
knowledge based authenticator,key
knowledge-based authenticator,key
least privilege,least privilege
length,length
library,source code
limit,restrict
log,log
log in,sign on
log on,sign on
logging,log
login,sign on
log-in,sign on
login id,username
logon id,username
log-on,sign on
lone,one
lose validity,expiration
medical record,sensitive data
memory,memory
message,message
mfa,multi factor authentication
minimal,minimum
minimum,minimum
mix,multiple
modify,alter
monitor,audit
multi factor authentication,multi factor authentication
multi-factor authentication,multi factor authentication
multiple,multiple
networking,routing
old password,original password
one,one
original password,original password
other users,others
others,others
output,output
package,source code
packet,packet
passcode,password
passcodes,password
passphrase,password
passphrases,password
password,password
passwords,password
path addressing,source routing
permanent,persistent
permission,privilege
persistent,persistent
personally identifiable information,sensitive data
personally-identifiable information,sensitive data
pii,sensitive data
plain text,plaintext
plaintext,plaintext
plain-text,plaintext
plp,least privilege
polp,least privilege
position,role
practice,activity
previous password,original password
private datum,sensitive data
privilege,privilege
privilege separation,privilege separation
program,application
questionable,suspicious
ram,memory
recover,recovery
recovery,recovery
referer field,referer field
referer-field,referer field
regular text,cleartext
remove,remove
renew,renew
reset,reset
restrict,restrict
retain,store
retract,remove
reuse,reuse
review,audit
revocation,revoke
revoke,revoke
right,privilege
role,role
root,root
routing,routing
sanitation,sanitize
sanitise,sanitize
sanitize,sanitize
save,store
secure,secure
secure socket layer,ssl
security,security
security action,security event
security control,security controls
security controls,security controls
security event,security event
security occurrence,security event
security profile,security profile
security question,security question
send,transport
sensitive data,sensitive data
sensitive datum,sensitive data
sensitive information,sensitive data
sensitive record,sensitive data
separate privileges,privilege separation
separation of duty,privilege separation
separation of privilege,privilege separation
sequence functionality,sequence functionality
server,server
server side,server
server-side,server
session,session
session tokens,cookie
several,multiple
sign in,sign on
sign on,sign on
sign-in,sign on
sign-on,sign on
single,one
size,length
social security,sensitive data
software,application
sole,one
source,source code
source routing,source routing
src,source code
ssl,ssl
ssn,sensitive data
sso,sign on
state datum,state data
store,store
strong,strong
suspicious,suspicious
tcp ip,ip address
tcp/ip,ip address
temporary,temporary
text file,plaintext
time stamp,time stamp
timestamp,time stamp
title,role
tls,ssl
track,audit
transient,session
transit,transport
transport,transport
transport security layer,ssl
trust area,trust zone
trust boundary,trust boundary
trust domain,trust zone
trust zone,trust zone
try,attempt
two,dual
two factor authentication,multi factor authentication
two step authentication,multi factor authentication
two step verification,multi factor authentication
two-factor authentication,multi factor authentication
two-step authentication,multi factor authentication
two-step verification,multi factor authentication
type of file,file type
ui,gui
unencrypted text,cleartext
uniform resource locator,url
universal resource locator,url
upload,upload
uploaded file,input file
uri,url
url,url
user,user
user id,username
user identifier,username
user interface,gui
user name,username
user-input file,input file
user-uploaded file,input file
user verification,authentication
username,username
valid,validation
validate,validation
validation,validation
validity period,expiration
vanilla text,cleartext
variety,multiple
various,multiple
verify,check
white list,whitelist
whitelist,whitelist
white-list,whitelist
zone of trust,trust zone
